SubjID,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,hits,misses,correctRejections,falseAlarms,totalTrials,hit_rate,fa_rate,hit_rate_z,fa_rate_z,d_prime_raw,d_prime,sensitivity
S124,6,10,6,10,6,10,6,10,6,10,6,10,8,8,8,8,8,8,8,8,8,8,8,8,14,18,14,18,32,0.4375,0.5625,-0.9472523387166586,0.9472523387166586,-0.125,-1.8945046774333172,Insensitive
S125,5,11,5,11,5,11,5,11,5,11,5,11,9,7,9,7,9,7,9,7,9,7,9,7,14,18,14,18,32,0.4375,0.5625,-0.9472523387166586,0.9472523387166586,-0.125,-1.8945046774333172,Insensitive
S126,13,3,13,3,13,3,13,3,13,3,13,3,14,2,14,2,14,2,14,2,14,2,14,2,27,5,27,5,32,0.84375,0.15625,1.7587731739932593,-1.7587731739932593,0.6875,3.5175463479865186,Sensitive
S127,8,8,8,8,8,8,8,8,8,8,8,8,10,6,10,6,10,6,10,6,10,6,10,6,18,14,18,14,32,0.5625,0.4375,-0.11462910403668387,0.11462910403668387,0.125,-0.22925820807336775,Insensitive
S128,15,1,15,1,15,1,15,1,15,1,15,1,16,0,16,0,16,0,16,0,16,0,16,0,31,1,31,1,32,0.96875,0.03125,2.591396408673234,-2.591396408673234,0.9375,5.182792817346468,Sensitive
S129,10,6,10,6,10,6,10,6,10,6,10,6,7,9,7,9,7,9,7,9,7,9,7,9,17,15,17,15,32,0.53125,0.46875,-0.32278491270667753,0.32278491270667753,0.0625,-0.6455698254133551,Insensitive
S130,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,32,0.5,0.5,-0.5309407213766713,0.5309407213766713,0,-1.0618814427533425,Insensitive
S131,8,7,8,7,8,7,8,7,8,7,8,7,11,5,11,5,11,5,11,5,11,5,11,5,19,12,19,12,31,0.6129032258064516,0.3870967741935484,0.22110607123749954,-0.22110607123749954,0.22580645161290325,0.44221214247499907,Sensitive
S132,8,8,8,8,8,8,8,8,8,8,8,8,10,6,10,6,10,6,10,6,10,6,10,6,18,14,18,14,32,0.5625,0.4375,-0.11462910403668387,0.11462910403668387,0.125,-0.22925820807336775,Insensitive
S133,6,10,6,10,6,10,6,10,6,10,6,10,9,7,9,7,9,7,9,7,9,7,9,7,15,17,15,17,32,0.46875,0.53125,-0.7390965300466649,0.7390965300466649,-0.0625,-1.4781930600933297,Insensitive
S134,10,6,10,6,10,6,10,6,10,6,10,6,8,7,8,7,8,7,8,7,8,7,8,7,18,13,18,13,31,0.5806451612903226,0.41935483870967744,0.006235559062022395,-0.006235559062022025,0.16129032258064518,0.01247111812404442,Sensitive
S135,6,10,6,10,6,10,6,10,6,10,6,10,7,9,7,9,7,9,7,9,7,9,7,9,13,19,13,19,32,0.40625,0.59375,-1.1554081473866522,1.1554081473866522,-0.1875,-2.3108162947733044,Insensitive
S136,3,13,3,13,3,13,3,13,3,13,3,13,7,9,7,9,7,9,7,9,7,9,7,9,10,22,10,22,32,0.3125,0.6875,-1.7798755733966332,1.7798755733966332,-0.375,-3.5597511467932663,Insensitive
S137,7,8,7,8,7,8,7,8,7,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,15,16,15,16,31,0.4838709677419355,0.5161290322580645,-0.6383759774644098,0.6383759774644098,-0.032258064516129004,-1.2767519549288195,Insensitive
S138,10,6,10,6,10,6,10,6,10,6,10,6,9,7,9,7,9,7,9,7,9,7,9,7,19,13,19,13,32,0.59375,0.40625,0.0935267046333098,-0.0935267046333098,0.1875,0.1870534092666196,Sensitive
S139,9,7,9,7,9,7,9,7,9,7,9,7,10,6,10,6,10,6,10,6,10,6,10,6,19,13,19,13,32,0.59375,0.40625,0.0935267046333098,-0.0935267046333098,0.1875,0.1870534092666196,Sensitive
S140,6,10,6,10,6,10,6,10,6,10,6,10,8,8,8,8,8,8,8,8,8,8,8,8,14,18,14,18,32,0.4375,0.5625,-0.9472523387166586,0.9472523387166586,-0.125,-1.8945046774333172,Insensitive
S141,6,10,6,10,6,10,6,10,6,10,6,10,9,7,9,7,9,7,9,7,9,7,9,7,15,17,15,17,32,0.46875,0.53125,-0.7390965300466649,0.7390965300466649,-0.0625,-1.4781930600933297,Insensitive
S142,8,8,8,8,8,8,8,8,8,8,8,8,10,6,10,6,10,6,10,6,10,6,10,6,18,14,18,14,32,0.5625,0.4375,-0.11462910403668387,0.11462910403668387,0.125,-0.22925820807336775,Insensitive
S143,9,7,9,7,9,7,9,7,9,7,9,7,7,8,7,8,7,8,7,8,7,8,7,8,16,15,16,15,31,0.5161290322580645,0.4838709677419355,-0.4235054652889326,0.4235054652889326,0.032258064516129004,-0.8470109305778653,Insensitive
S144,8,8,8,8,8,8,8,8,8,8,8,8,7,9,7,9,7,9,7,9,7,9,7,9,15,17,15,17,32,0.46875,0.53125,-0.7390965300466649,0.7390965300466649,-0.0625,-1.4781930600933297,Insensitive
S145,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,16,16,16,32,0.5,0.5,-0.5309407213766713,0.5309407213766713,0,-1.0618814427533425,Insensitive
S146,6,4,6,4,6,4,6,4,6,4,6,4,4,7,4,7,4,7,4,7,4,7,4,7,10,11,10,11,21,0.47619047619047616,0.5238095238095238,-0.6895356232204761,0.6895356232204761,-0.04761904761904767,-1.3790712464409522,Insensitive
S147,5,11,5,11,5,11,5,11,5,11,5,11,8,7,8,7,8,7,8,7,8,7,8,7,13,18,13,18,31,0.41935483870967744,0.5806451612903226,-1.0681170018153645,1.0681170018153647,-0.16129032258064518,-2.1362340036307295,Insensitive
S150,11,5,11,5,11,5,11,5,11,5,11,5,10,6,10,6,10,6,10,6,10,6,10,6,21,11,21,11,32,0.65625,0.34375,0.5098383219732971,-0.5098383219732971,0.3125,1.0196766439465943,Sensitive
S152,10,6,10,6,10,6,10,6,10,6,10,6,9,7,9,7,9,7,9,7,9,7,9,7,19,13,19,13,32,0.59375,0.40625,0.0935267046333098,-0.0935267046333098,0.1875,0.1870534092666196,Sensitive
S153,11,5,11,5,11,5,11,5,11,5,11,5,10,6,10,6,10,6,10,6,10,6,10,6,21,11,21,11,32,0.65625,0.34375,0.5098383219732971,-0.5098383219732971,0.3125,1.0196766439465943,Sensitive
S154,7,9,7,9,7,9,7,9,7,9,7,9,14,2,14,2,14,2,14,2,14,2,14,2,21,11,21,11,32,0.65625,0.34375,0.5098383219732971,-0.5098383219732971,0.3125,1.0196766439465943,Sensitive
S155,9,6,9,6,9,6,9,6,9,6,9,6,8,8,8,8,8,8,8,8,8,8,8,8,17,14,17,14,31,0.5483870967741935,0.45161290322580644,-0.2086349531134555,0.20863495311345512,0.09677419354838707,-0.4172699062269106,Insensitive
S156,9,6,9,6,9,6,9,6,9,6,9,6,7,9,7,9,7,9,7,9,7,9,7,9,16,15,16,15,31,0.5161290322580645,0.4838709677419355,-0.4235054652889326,0.4235054652889326,0.032258064516129004,-0.8470109305778653,Insensitive
S157,7,9,7,9,7,9,7,9,7,9,7,9,5,11,5,11,5,11,5,11,5,11,5,11,12,20,12,20,32,0.375,0.625,-1.363563956056646,1.363563956056646,-0.25,-2.727127912113292,Insensitive
S158,8,8,8,8,8,8,8,8,8,8,8,8,9,7,9,7,9,7,9,7,9,7,9,7,17,15,17,15,32,0.53125,0.46875,-0.32278491270667753,0.32278491270667753,0.0625,-0.6455698254133551,Insensitive
S159,7,9,7,9,7,9,7,9,7,9,7,9,4,12,4,12,4,12,4,12,4,12,4,12,11,21,11,21,32,0.34375,0.65625,-1.5717197647266397,1.5717197647266397,-0.3125,-3.1434395294532793,Insensitive
S160,4,12,4,12,4,12,4,12,4,12,4,12,7,9,7,9,7,9,7,9,7,9,7,9,11,21,11,21,32,0.34375,0.65625,-1.5717197647266397,1.5717197647266397,-0.3125,-3.1434395294532793,Insensitive
S162,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,32,0,32,0,32,1,0,2.7995522173432277,-2.7995522173432277,1,5.599104434686455,Sensitive
S163,8,8,8,8,8,8,8,8,8,8,8,8,10,6,10,6,10,6,10,6,10,6,10,6,18,14,18,14,32,0.5625,0.4375,-0.11462910403668387,0.11462910403668387,0.125,-0.22925820807336775,Insensitive
S164,10,6,10,6,10,6,10,6,10,6,10,6,9,7,9,7,9,7,9,7,9,7,9,7,19,13,19,13,32,0.59375,0.40625,0.0935267046333098,-0.0935267046333098,0.1875,0.1870534092666196,Sensitive
S167,13,3,13,3,13,3,13,3,13,3,13,3,14,2,14,2,14,2,14,2,14,2,14,2,27,5,27,5,32,0.84375,0.15625,1.7587731739932593,-1.7587731739932593,0.6875,3.5175463479865186,Sensitive
S169,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,12,4,24,8,24,8,32,0.75,0.25,1.134305747983278,-1.134305747983278,0.5,2.268611495966556,Sensitive
S170,14,2,14,2,14,2,14,2,14,2,14,2,12,4,12,4,12,4,12,4,12,4,12,4,26,6,26,6,32,0.8125,0.1875,1.5506173653232656,-1.5506173653232656,0.625,3.101234730646531,Sensitive
S171,12,4,12,4,12,4,12,4,12,4,12,4,9,7,9,7,9,7,9,7,9,7,9,7,21,11,21,11,32,0.65625,0.34375,0.5098383219732971,-0.5098383219732971,0.3125,1.0196766439465943,Sensitive
S172,5,11,5,11,5,11,5,11,5,11,5,11,4,12,4,12,4,12,4,12,4,12,4,12,9,23,9,23,32,0.28125,0.71875,-1.9880313820666269,1.9880313820666269,-0.4375,-3.9760627641332538,Insensitive
S173,8,8,8,8,8,8,8,8,8,8,8,8,7,9,7,9,7,9,7,9,7,9,7,9,15,17,15,17,32,0.46875,0.53125,-0.7390965300466649,0.7390965300466649,-0.0625,-1.4781930600933297,Insensitive
S174,11,5,11,5,11,5,11,5,11,5,11,5,11,5,11,5,11,5,11,5,11,5,11,5,22,10,22,10,32,0.6875,0.3125,0.7179941306432909,-0.7179941306432909,0.375,1.4359882612865817,Sensitive
S175,6,10,6,10,6,10,6,10,6,10,6,10,12,4,12,4,12,4,12,4,12,4,12,4,18,14,18,14,32,0.5625,0.4375,-0.11462910403668387,0.11462910403668387,0.125,-0.22925820807336775,Insensitive
S176,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,9,7,18,14,18,14,32,0.5625,0.4375,-0.11462910403668387,0.11462910403668387,0.125,-0.22925820807336775,Insensitive
S177,11,5,11,5,11,5,11,5,11,5,11,5,10,6,10,6,10,6,10,6,10,6,10,6,21,11,21,11,32,0.65625,0.34375,0.5098383219732971,-0.5098383219732971,0.3125,1.0196766439465943,Sensitive
